service,efa_date,delivery_start,delivery_end,efa,cleared_volume,clearing_price,service_type,auction_id
DMH,2023-12-19,2023-12-19T19:00:00+0000,2023-12-19T23:00:00+0000,6,170.0,-0.41,Response,67
DCL,2023-12-19,2023-12-19T19:00:00+0000,2023-12-19T23:00:00+0000,6,943.0,1.4,Response,67
DCH,2023-12-19,2023-12-19T19:00:00+0000,2023-12-19T23:00:00+0000,6,1135.0,0.64,Response,67
DRL,2023-12-19,2023-12-19T19:00:00+0000,2023-12-19T23:00:00+0000,6,271.0,10.66,Response,67
DMH,2023-12-19,2023-12-19T15:00:00+0000,2023-12-19T19:00:00+0000,5,170.0,-0.08,Response,67
DRL,2023-12-19,2023-12-19T15:00:00+0000,2023-12-19T19:00:00+0000,5,271.0,10.03,Response,67
DCH,2023-12-19,2023-12-19T15:00:00+0000,2023-12-19T19:00:00+0000,5,962.0,0.76,Response,67
DML,2023-12-19,2023-12-19T15:00:00+0000,2023-12-19T19:00:00+0000,5,150.0,2.99,Response,67
DCL,2023-12-19,2023-12-19T15:00:00+0000,2023-12-19T19:00:00+0000,5,826.0,1.12,Response,67
DRH,2023-12-19,2023-12-19T15:00:00+0000,2023-12-19T19:00:00+0000,5,350.0,-5.98,Response,67
DRH,2023-12-19,2023-12-19T11:00:00+0000,2023-12-19T15:00:00+0000,4,350.0,-5.63,Response,67
DCL,2023-12-19,2023-12-19T11:00:00+0000,2023-12-19T15:00:00+0000,4,820.0,1.0,Response,67
DMH,2023-12-19,2023-12-19T11:00:00+0000,2023-12-19T15:00:00+0000,4,158.0,-0.11,Response,67
DCH,2023-12-19,2023-12-19T11:00:00+0000,2023-12-19T15:00:00+0000,4,965.0,0.88,Response,67
DML,2023-12-19,2023-12-19T11:00:00+0000,2023-12-19T15:00:00+0000,4,150.0,2.94,Response,67
DRL,2023-12-19,2023-12-19T11:00:00+0000,2023-12-19T15:00:00+0000,4,271.0,8.9,Response,67
DML,2023-12-19,2023-12-19T07:00:00+0000,2023-12-19T11:00:00+0000,3,150.0,3.42,Response,67
DRH,2023-12-19,2023-12-19T07:00:00+0000,2023-12-19T11:00:00+0000,3,350.0,-5.51,Response,67
DCH,2023-12-19,2023-12-19T07:00:00+0000,2023-12-19T11:00:00+0000,3,1072.0,1.08,Response,67
DRL,2023-12-19,2023-12-19T07:00:00+0000,2023-12-19T11:00:00+0000,3,312.0,10.0,Response,67
DCL,2023-12-19,2023-12-19T07:00:00+0000,2023-12-19T11:00:00+0000,3,940.0,1.79,Response,67
DMH,2023-12-19,2023-12-19T07:00:00+0000,2023-12-19T11:00:00+0000,3,157.0,-0.19,Response,67
DCL,2023-12-19,2023-12-19T03:00:00+0000,2023-12-19T07:00:00+0000,2,958.0,0.88,Response,67
DCH,2023-12-19,2023-12-19T03:00:00+0000,2023-12-19T07:00:00+0000,2,1176.0,1.92,Response,67
DRH,2023-12-19,2023-12-19T03:00:00+0000,2023-12-19T07:00:00+0000,2,350.0,-4.08,Response,67
DMH,2023-12-19,2023-12-19T03:00:00+0000,2023-12-19T07:00:00+0000,2,150.0,0.66,Response,67
DRL,2023-12-19,2023-12-19T03:00:00+0000,2023-12-19T07:00:00+0000,2,236.0,9.92,Response,67
DML,2023-12-19,2023-12-19T03:00:00+0000,2023-12-19T07:00:00+0000,2,150.0,3.22,Response,67
DMH,2023-12-19,2023-12-18T23:00:00+0000,2023-12-19T03:00:00+0000,1,150.0,0.25,Response,67
DCL,2023-12-19,2023-12-18T23:00:00+0000,2023-12-19T03:00:00+0000,1,947.0,0.64,Response,67
DRL,2023-12-19,2023-12-18T23:00:00+0000,2023-12-19T03:00:00+0000,1,213.0,9.0,Response,67
DCH,2023-12-19,2023-12-18T23:00:00+0000,2023-12-19T03:00:00+0000,1,1170.0,1.25,Response,67
DML,2023-12-19,2023-12-18T23:00:00+0000,2023-12-19T03:00:00+0000,1,150.0,3.44,Response,67
DRH,2023-12-19,2023-12-18T23:00:00+0000,2023-12-19T03:00:00+0000,1,350.0,-5.17,Response,67
DRH,2023-12-18,2023-12-18T19:00:00+0000,2023-12-18T23:00:00+0000,6,350.0,-5.89,Response,66
DML,2023-12-18,2023-12-18T19:00:00+0000,2023-12-18T23:00:00+0000,6,150.0,2.96,Response,66
DMH,2023-12-18,2023-12-18T19:00:00+0000,2023-12-18T23:00:00+0000,6,170.0,-0.73,Response,66
DCL,2023-12-18,2023-12-18T19:00:00+0000,2023-12-18T23:00:00+0000,6,940.0,1.01,Response,66
DCH,2023-12-18,2023-12-18T19:00:00+0000,2023-12-18T23:00:00+0000,6,1053.0,0.92,Response,66
DRL,2023-12-18,2023-12-18T19:00:00+0000,2023-12-18T23:00:00+0000,6,198.0,9.0,Response,66
DMH,2023-12-18,2023-12-18T15:00:00+0000,2023-12-18T19:00:00+0000,5,150.0,0.02,Response,66
DRL,2023-12-18,2023-12-18T15:00:00+0000,2023-12-18T19:00:00+0000,5,262.0,9.76,Response,66
DCH,2023-12-18,2023-12-18T15:00:00+0000,2023-12-18T19:00:00+0000,5,951.0,1.06,Response,66
DML,2023-12-18,2023-12-18T15:00:00+0000,2023-12-18T19:00:00+0000,5,150.0,3.32,Response,66
DCL,2023-12-18,2023-12-18T15:00:00+0000,2023-12-18T19:00:00+0000,5,811.0,1.5,Response,66
DRH,2023-12-18,2023-12-18T15:00:00+0000,2023-12-18T19:00:00+0000,5,350.0,-5.56,Response,66
DRH,2023-12-18,2023-12-18T11:00:00+0000,2023-12-18T15:00:00+0000,4,350.0,-5.39,Response,66
DCL,2023-12-18,2023-12-18T11:00:00+0000,2023-12-18T15:00:00+0000,4,795.0,1.23,Response,66
DMH,2023-12-18,2023-12-18T11:00:00+0000,2023-12-18T15:00:00+0000,4,165.0,-0.05,Response,66
DCH,2023-12-18,2023-12-18T11:00:00+0000,2023-12-18T15:00:00+0000,4,952.0,0.86,Response,66
DML,2023-12-18,2023-12-18T11:00:00+0000,2023-12-18T15:00:00+0000,4,150.0,2.69,Response,66
DRL,2023-12-18,2023-12-18T11:00:00+0000,2023-12-18T15:00:00+0000,4,204.0,7.67,Response,66
DML,2023-12-18,2023-12-18T07:00:00+0000,2023-12-18T11:00:00+0000,3,150.0,3.12,Response,66
DRH,2023-12-18,2023-12-18T07:00:00+0000,2023-12-18T11:00:00+0000,3,350.0,-4.87,Response,66
DCH,2023-12-18,2023-12-18T07:00:00+0000,2023-12-18T11:00:00+0000,3,1057.0,0.97,Response,66
DRL,2023-12-18,2023-12-18T07:00:00+0000,2023-12-18T11:00:00+0000,3,264.0,9.19,Response,66
DCL,2023-12-18,2023-12-18T07:00:00+0000,2023-12-18T11:00:00+0000,3,941.0,1.05,Response,66
DMH,2023-12-18,2023-12-18T07:00:00+0000,2023-12-18T11:00:00+0000,3,170.0,-0.21,Response,66
DCL,2023-12-18,2023-12-18T03:00:00+0000,2023-12-18T07:00:00+0000,2,970.0,0.78,Response,66
DCH,2023-12-18,2023-12-18T03:00:00+0000,2023-12-18T07:00:00+0000,2,1181.0,3.34,Response,66
DRH,2023-12-18,2023-12-18T03:00:00+0000,2023-12-18T07:00:00+0000,2,350.0,-1.82,Response,66
DMH,2023-12-18,2023-12-18T03:00:00+0000,2023-12-18T07:00:00+0000,2,150.0,2.35,Response,66
DRL,2023-12-18,2023-12-18T03:00:00+0000,2023-12-18T07:00:00+0000,2,197.0,10.49,Response,66
DML,2023-12-18,2023-12-18T03:00:00+0000,2023-12-18T07:00:00+0000,2,150.0,3.52,Response,66
DMH,2023-12-18,2023-12-17T23:00:00+0000,2023-12-18T03:00:00+0000,1,150.0,0.39,Response,66
DCL,2023-12-18,2023-12-17T23:00:00+0000,2023-12-18T03:00:00+0000,1,951.0,0.88,Response,66
DRL,2023-12-18,2023-12-17T23:00:00+0000,2023-12-18T03:00:00+0000,1,182.0,9.0,Response,66
DCH,2023-12-18,2023-12-17T23:00:00+0000,2023-12-18T03:00:00+0000,1,1177.0,1.49,Response,66
DML,2023-12-18,2023-12-17T23:00:00+0000,2023-12-18T03:00:00+0000,1,150.0,3.39,Response,66
DRH,2023-12-18,2023-12-17T23:00:00+0000,2023-12-18T03:00:00+0000,1,350.0,-3.54,Response,66
DRH,2023-12-17,2023-12-17T19:00:00+0000,2023-12-17T23:00:00+0000,6,350.0,-4.99,Response,65
DML,2023-12-17,2023-12-17T19:00:00+0000,2023-12-17T23:00:00+0000,6,150.0,2.93,Response,65
DMH,2023-12-17,2023-12-17T19:00:00+0000,2023-12-17T23:00:00+0000,6,170.0,-0.66,Response,65
