Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
141.023,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,,,,,,,700,1500,8,152.1,,,,,,,,5.2,13,13,5.2,13,5.2,13,,,B,,,,N/A,
141.024,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,,,,,,,1500,2300,8,171.6,,,,,,,,6,15,15,6,15,5.6,14,,,C,,,,N/A,
141.025,Accepted,NA,GridBeyond Limited,ENDSR-1,DNO connection,DSF: Load response,30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,8.5,,,,,,,,,,,,,,,,,,,,5,N/A,
141.026,Accepted,NA,GridBeyond Limited,ENDSR-1,DNO connection,DSF: Load response,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,8.5,,,,,,,,,,,,,,,,,,,,5,N/A,
141.027,Accepted,NA,GridBeyond Limited,ENDSR-1,DNO connection,DSF: Load response,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,8.5,,,,,,,,,,,,,,,,,,,,5,N/A,
141.028,Accepted,NA,GridBeyond Limited,ENDSR-2,DNO connection,DSF: Load response,30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,9.95,,,,,,,,,,,,,,,,,,,,5,N/A,
141.029,Accepted,NA,GridBeyond Limited,ENDSR-2,DNO connection,DSF: Load response,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,9.95,,,,,,,,,,,,,,,,,,,,5,N/A,
141.030,Accepted,NA,GridBeyond Limited,ENDSR-2,DNO connection,DSF: Load response,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,9.95,,,,,,,,,,,,,,,,,,,,5,N/A,
141.031,Rejected,2,GridBeyond Limited,ENDSR-4,DNO connection,DSF: Load response,30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,14.94,,,,,,,,,,,,,,,,,,,,6,N/A,
141.032,Accepted,NA,GridBeyond Limited,ENDSR-4,DNO connection,DSF: Load response,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,14.94,,,,,,,,,,,,,,,,,,,,6,N/A,
141.033,Accepted,NA,GridBeyond Limited,ENDSR-4,DNO connection,DSF: Load response,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,14.94,,,,,,,,,,,,,,,,,,,,6,N/A,
141.034,Rejected,2,GridBeyond Limited,ENDSR-3,DNO connection,DSF: Load response,30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,14.95,,,,,,,,,,,,,,,,,,,,5,N/A,
141.035,Accepted,NA,GridBeyond Limited,ENDSR-3,DNO connection,DSF: Load response,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,17.94,,,,,,,,,,,,,,,,,,,,6,N/A,
141.036,Accepted,NA,GridBeyond Limited,ENDSR-3,DNO connection,DSF: Load response,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,14.95,,,,,,,,,,,,,,,,,,,,5,N/A,
141.037,Rejected,2,Habitat Energy Limited,HAB2-FFR,DNO connection,DSF: Storage (for export),30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,93,-,-,-,,,,,2,5,5,2,5,2,5,,,,,,,WV1 3RD,
141.038,Rejected,2,Habitat Energy Limited,HAB3-FFR,DNO connection,DSF: Storage (for export),30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,274.5,-,-,-,,,,,6,15,15,6,15,6,15,,,,,,,BS7 9ST,
141.039,Rejected,2,Habitat Energy Limited,AG-HEL00G,DNO connection,DSF: Storage (for export),30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,926.1,-,-,Yes,,,,,19.6,49,49,19.6,49,19.6,49,,,,,,,PR2 5LX,
141.040,Rejected,2,Habitat Energy Limited,AG-HEL01H,DNO connection,DSF: Storage (for export),30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,379.8,-,-,Yes,,,,,8,20,20,8,20,6.4,16,,,,,,,SN12 6EF,
141.041,Accepted,NA,Kiwi Power Ltd,KIWIE-5,DNO connection,DSF: Storage (onsite),30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,44,,,,,,,,1.6,4,4,1.6,4,1.6,4,,,, ,,,TS13 4UZ,
141.042,Accepted,NA,Kiwi Power Ltd,KIWIS-1,DNO connection,Multiple Fuel Type,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,24,,,,,,,,,,,,,,,,,,,,15,"S33 6RP,
ST10 3EQ",
